Token ID,Token Name,Token decimals,Bonus Only,Swap
1,ERGO,0,False,True
03faf2cb329f2e90d6d23b58d91bbb6c046aa143261cc21f52fbe2824bfcbf04,SigUSD,2,True,False
8b08cdd5449a9592a9e79711d7d79249d7a03c535d17efaee83e216e80a44c4b,RSN,3,False,True
01dce8a5632d19799950ff90bca3b5d0ca3ebfa8aaafd06f0cc6dd1e97150e7f,CYPX,4,False,True
b0b312cde931c8bbdac0dac5bfd8e2c03bf4611275dc967988c8d15bd5ec20e0,Bober,3,True,False
0cd8c9f416e5b1ca9f986a7f10a84191dfb85941619e49e53c0dc30ebf83324b,COMET,0,True,False
7a51950e5f548549ec1aa63ffdc38279505b11e7e803d01bcf8347e0123c88b0,rsBTC,8,False,True
3405d8f709a19479839597f9a22a7553bdfc1a590a427572787d7c44a88b6386,love,0,True,False
7ba2a85fdb302a181578b1f64cb4a533d89b3f8de4159efece75da41041537f9,Gort,0,True,False
fcfca7654fb0da57ecf9a3f489bcbeb1d43b56dce7e73b352f7bc6f2561d2a1b,ErgOne,0,True,False
6ad70cdbf928a2bdd397041a36a5c2490a35beb4d20eabb5666f004b103c7189,rsHosky,0,True,False
0779ec04f2fae64e87418a1ad917639d4668f78484f45df962b0dec14a2591d2,MiGoreng,0,True,False
01bf775d39ea0b1e04e0cd90625180271ec64020fd8f833f56e3e20794656e56,AlienRocket,0,True,False
843b5a2a0658550339c38f29827861fe459ce5206edaf17163113cccafc77af1,GiF,0,True,False
abe0a3c2f646dcd430aac9c29d80feee865bd8b5231edb545a41105d4c8e4985,Buns,0,True,False
f6fc7721184b59868d895e7463515b83abb467238f239809b6ef76717e444063,Alien,0,True,False
1465c9b9de602bd75f8f38df83118e2c8b1d5b2f5518514dd1438149053652a8,DarkErdoge,0,True,False
36aba4b4a97b65be491cf9f5ca57b5408b0da8d0194f30ec8330d1e8946161c1,ErgDoge,0,True,False
52f4544ce8a420d484ece16f9b984d81c23e46971ef5e37c29382ac50f80d5bd,AuctionCoin,0,True,False
d1d2ae2ac0456aa43550dd4fda45e4f866d523be9170d3a3e4cab43a83926334,GreasyCex,0,True,False
2486c279e097c3aeb8116239fca671b9000efa12d8f20c92ca5b7795a359e041,Fucks,0,True,False
bd0c25c373ad606d78412ae1198133f4573b4e4c2d4ed3fc4c2a4547c6c6e12e,Clown,3,True,False
af1a2e8005f6ffc9e291e121d1fb08795c5a079409b8ca56e20eb2f4f6f8553b,Dogo,0,True,False
e023c5f382b6e96fbd878f6811aac73345489032157ad5affb84aefd4956c297,rsADA,?,False,True
886b7721bef42f60c6317d37d8752da8aca01898cae7dae61808c4a14225edc8,GAU,?,False,True
48553eaceb9edbc0adaed666c7ce26ccd7c919eef53b211a8b2ffcfb25ff97c0,ProxyToken,5,True,False
c316e07ea2c2bb020c670bc2b926df5b7da318026d3a97920ed09e7fa4110f07,btcSHARK,9,True,False
